Opis,Kategoria
"Zasłonięty przez gałęzie znak ""ustąp pierwszeństwa""",Zagrożenia dla pieszych i uczestników ruchu
Wyprzedzanie na przejściu dla pieszych,Zachowania uczestników ruchu (kierowcy i piesi)
Nachylony słup energetyczny grożący przewróceniem,Niebezpieczne sytuacje
Przejazd na czerwonym świetle,Zachowania uczestników ruchu (kierowcy i piesi)
Tymczasowa organizacja ruchu która stała się permanentna i jest niebezpieczna,Zagrożenia dla pieszych i uczestników ruchu
Zapadnięta droga po budowie kanalizacji,Infrastruktura drogowa i chodniki
Pozostawione włączone żelazko w pustym mieszkaniu,Niebezpieczne sytuacje
Wylęgarnia insektów w stojącej wodzie w starej oponie,Zagrożenia biologiczne
Grupa osób przebywająca w budynku grożącym zawaleniem,Niebezpieczne sytuacje
Przewrócone ogrodzenie budowy a wejście na plac jest otwarte,Niebezpieczne sytuacje
Duża ilość ulotek zaśmiecająca klatkę schodową i teren przed blokiem,Zaśmiecanie i nielegalne wysypiska
Iskrząca skrzynka elektryczna na ścianie budynku,Niebezpieczne sytuacje
Pomazane farbą ławki w parku uniemożliwiające siedzenie,Wandalizm
Wąski chodnik na którym nie mogą się minąć dwie osoby z wózkami,Zagrożenia dla pieszych i uczestników ruchu
Brak toalet publicznych w centrum miasta,Pozostałe (inne)
Pełno butelek i puszek po alkoholu na trawniku w parku,Zaśmiecanie i nielegalne wysypiska
Pozostawione odpady po remoncie mieszkania w altanie śmietnikowej,Zaśmiecanie i nielegalne wysypiska
Celowe zaśmiecanie koryta małej rzeki w mieście,Zaśmiecanie i nielegalne wysypiska
Pieszy na przejściu zmuszający do nagłego hamowania,Zachowania uczestników ruchu (kierowcy i piesi)
Rodzice parkujący na chwilę na przystanku autobusowym pod szkołą,Zachowania uczestników ruchu (kierowcy i piesi)
Pojawienie się pleśni i grzyba na ścianie w budynku publicznym,Zagrożenia biologiczne
Zdewastowane pomniki lub miejsca pamięci,Wandalizm
Zbyt wąski chodnik przy ruchliwej drodze,Infrastruktura drogowa i chodniki
Sugestia dotycząca nowej lokalizacji paczkomatu,Pozostałe (inne)
Wyłamane barierki ochronne przy schodach,Wandalizm
Śmieci wysypujące się z przeładowanej ciężarówki podczas jazdy,Zaśmiecanie i nielegalne wysypiska
Niebezpieczne manewry na hulajnodze elektrycznej,Niebezpieczne sytuacje
Odpady z myjni samochodowej spuszczane do rowu,Zaśmiecanie i nielegalne wysypiska
Zatrzymywanie pojazdu w miejscu zabronionym np na moście,Zachowania uczestników ruchu (kierowcy i piesi)
Potrzebna jest dodatkowa ławka w parku,Pozostałe (inne)
Kolizja spowodowana przez kierowcę który zasłabł za kierownicą,Wypadki drogowe
Brak zadaszenia nad stojakami rowerowymi,Pozostałe (inne)
Prowadzenie głośnych rozmów telefonicznych w autobusie,Zachowania uczestników ruchu (kierowcy i piesi)
Utrata ładunku przez pojazd ciężarowy,Wypadki drogowe
Wielkogabarytowe śmieci stojące przy śmietniku od miesiąca,Zaśmiecanie i nielegalne wysypiska
Uszkodzone bariery dźwiękochłonne przy drodze szybkiego ruchu,Infrastruktura drogowa i chodniki
Samochód który wjechał w przystanek autobusowy,Wypadki drogowe
Celowe ochlapywanie pieszych przez wjeżdżanie w kałuże,Zachowania uczestników ruchu (kierowcy i piesi)
Używanie świateł przeciwmgielnych gdy nie ma mgły,Zachowania uczestników ruchu (kierowcy i piesi)
Używanie klaksonu w terenie zabudowanym bez powodu,Zachowania uczestników ruchu (kierowcy i piesi)
Wniosek o zmianę lokalizacji przystanku autobusowego,Pozostałe (inne)
Uszkodzone ładowarki dla pojazdów elektrycznych,Wandalizm
Zbyt blisko jezdni umiejscowiony przystanek autobusowy bez zatoki,Zagrożenia dla pieszych i uczestników ruchu
Brak oświetlenia w tunelu dla pieszych,Zagrożenia dla pieszych i uczestników ruchu
Puste butelki i puszki w piaskownicy,Zaśmiecanie i nielegalne wysypiska
Zaśmiecanie plaży miejskiej,Zaśmiecanie i nielegalne wysypiska
Rowerzysta słuchający głośnej muzyki w słuchawkach,Zachowania uczestników ruchu (kierowcy i piesi)
Prośba o spowolnienie ruchu na ulicy osiedlowej,Pozostałe (inne)
Brak miejsc do rekreacji dla młodzieży,Pozostałe (inne)
Źle wyprofilowany podjazd dla niepełnosprawnych,Infrastruktura drogowa i chodniki
Zaśmiecony przystanek autobusowy pełen niedopałków i biletów,Zaśmiecanie i nielegalne wysypiska
Niebezpieczna lokalizacja przystanku tramwajowego,Zagrożenia dla pieszych i uczestników ruchu
Niewystarczająca liczba stojaków na rowery w centrum,Zagrożenia dla pieszych i uczestników ruchu
Koniec ścieżki rowerowej urywa się nagle przed ruchliwym skrzyżowaniem,Zagrożenia dla pieszych i uczestników ruchu
Uciążliwy hałas z agregatu prądotwórczego,Pozostałe (inne)
Parkowanie w sposób blokujący dostęp do hydrantu,Zachowania uczestników ruchu (kierowcy i piesi)
Nielegalne wysypisko w parku narodowym,Zaśmiecanie i nielegalne wysypiska
Niewłaściwie zaparkowany samochód zasłaniający przejście dla pieszych,Zagrożenia dla pieszych i uczestników ruchu
Wypadek z udziałem pojazdu uprzywilejowanego karetki,Wypadki drogowe
Wysepka tramwajowa bez barierek ochronnych,Zagrożenia dla pieszych i uczestników ruchu
Niestabilny chyboczący się maszt flagowy,Niebezpieczne sytuacje
Zbyt mała liczba miejsc parkingowych w rejonie,Infrastruktura drogowa i chodniki
Dzieci wchodzące na dach niskiego budynku handlowego,Niebezpieczne sytuacje
Dzieci rzucające kamieniami w przejeżdżające pociągi,Niebezpieczne sytuacje
Porzucone elektrośmieci jak stare telewizory i lodówki,Zaśmiecanie i nielegalne wysypiska
Nagłe otwieranie drzwi samochodu bez patrzenia w lusterko,Zachowania uczestników ruchu (kierowcy i piesi)
Uszkodzona huśtawka na placu zabaw z pękniętym łańcuchem,Niebezpieczne sytuacje
Pozostawianie opakowań po jedzeniu na ławkach i murkach,Zaśmiecanie i nielegalne wysypiska
Samochód uderzył w barierę na płatnej autostradzie,Wypadki drogowe
Zderzenie tramwaju z samochodem osobowym,Wypadki drogowe
Wypaczona od gorąca nawierzchnia asfaltowa tworzy wybrzuszenia,Infrastruktura drogowa i chodniki
Gniazdo szerszeni w skrzynce na listy,Zagrożenia biologiczne
Wyjący alarm samochodowy przez całą noc,Pozostałe (inne)
Jazda na hulajnodze elektrycznej w dwie osoby,Zachowania uczestników ruchu (kierowcy i piesi)
Niekontrolowane wypalanie traw na łące,Niebezpieczne sytuacje
Zapadnięta studzienka kanalizacyjna na ulicy Królewskiej stwarza zagrożenie,Infrastruktura drogowa i chodniki
Zniszczenie oświetlenia świątecznego miasta,Wandalizm
Potrącenie osoby starszej na pasach,Wypadki drogowe
Wąska droga bez pobocza używana przez pieszych,Zagrożenia dla pieszych i uczestników ruchu
Brak piasku w piaskownicy na placu zabaw,Pozostałe (inne)
Wyrwane przewody z publicznej stacji ładowania telefonów,Wandalizm
Organizowanie kuligu za samochodem na drodze publicznej,Niebezpieczne sytuacje
Zniszczenie systemu nawadniania trawnika miejskiego,Wandalizm
Niebezpieczny zjazd z autostrady,Zagrożenia dla pieszych i uczestników ruchu
Jazda na zderzaku i zajeżdżanie drogi,Zachowania uczestników ruchu (kierowcy i piesi)
Niewielkie ale liczne śmieci porozrzucane na plaży,Zaśmiecanie i nielegalne wysypiska
Prośba o wyznaczenie nowego przejścia dla pieszych,Pozostałe (inne)
Oślepianie innych kierowców przez źle ustawione światła,Zachowania uczestników ruchu (kierowcy i piesi)
Zniszczona skrzynka na listy,Wandalizm
Kolizja kilku pojazdów na śliskiej nawierzchni,Wypadki drogowe
Nielegalny zrzut ścieków do rzeki,Zagrożenia biologiczne
Pogięta tablica z nazwą miejscowości,Wandalizm
Brak koszy na śmieci na popularnym szlaku spacerowym,Zaśmiecanie i nielegalne wysypiska
Niewłaściwie ustawione znaki drogowe wprowadzające w błąd,Zagrożenia dla pieszych i uczestników ruchu
Brak rampy dla wózków przy wysokim krawężniku,Infrastruktura drogowa i chodniki
Brak lustra drogowego na skrzyżowaniu z ograniczoną widocznością,Zagrożenia dla pieszych i uczestników ruchu
Zniszczenie rzeźby lub instalacji artystycznej w przestrzeni miejskiej,Wandalizm
Wypadek spowodowany pęknięciem opony,Wypadki drogowe
Kilka porzuconych opon przy drodze w kierunku Tyńca,Zaśmiecanie i nielegalne wysypiska
Wypadek na przejeździe kolejowo-drogowym,Wypadki drogowe
Potrącenie osoby na hulajnodze przez cofający samochód,Wypadki drogowe
Częste przerwy w dostawie energii elektrycznej,Pozostałe (inne)
Niebezpieczne przejście dla pieszych bez sygnalizacji świetlnej na drodze z 3 pasami,Zagrożenia dla pieszych i uczestników ruchu
Brak oświetlenia na kładce dla pieszych nad autostradą,Zagrożenia dla pieszych i uczestników ruchu
Nagminne wyrzucanie butelek do pobliskiego stawu,Zaśmiecanie i nielegalne wysypiska
Brak miejsc parkingowych na nowym osiedlu,Pozostałe (inne)
Brak oświetlenia pod wiaduktem kolejowym,Infrastruktura drogowa i chodniki
Brak bezpiecznego dojścia do przystanku tramwajowego,Zagrożenia dla pieszych i uczestników ruchu
Obecność pluskiew w mieszkaniu,Zagrożenia biologiczne
Brak poręczy przy schodach w miejscu publicznym,Infrastruktura drogowa i chodniki
Samochód potrącił sarnę na wylocie z miasta,Wypadki drogowe
Blokowanie skrzyżowania przez wjeżdżanie bez możliwości zjazdu,Zachowania uczestników ruchu (kierowcy i piesi)
Autobus wpadł do rowu z powodu gołoledzi,Wypadki drogowe
Przeciek gazu w piwnicy budynku mieszkalnego,Niebezpieczne sytuacje
Prośba o częstsze patrole policji lub straży miejskiej w okolicy,Pozostałe (inne)
Gołębie gnieżdżące się na balkonie i zanieczyszczające go,Pozostałe (inne)
Rozbite butelki na ścieżce rowerowej,Wandalizm
Brak barierki oddzielającej chodnik od stromego zbocza,Zagrożenia dla pieszych i uczestników ruchu
Zaśmiecanie plaży podczas imprez plenerowych,Zaśmiecanie i nielegalne wysypiska
Nierówny chodnik na ulicy Starowiślnej na którym łatwo się potknąć,Infrastruktura drogowa i chodniki
Pęknięte i niestabilne płyty chodnikowe,Infrastruktura drogowa i chodniki
Zardzewiała i chwiejna drabina przeciwpożarowa,Niebezpieczne sytuacje
Samochód który wypadł z drogi i dachował,Wypadki drogowe
Używane igły i strzykawki porzucone na trawniku,Zagrożenia biologiczne
Zdrapana farba z rzeźby plenerowej,Wandalizm
Brak bezpiecznego dojścia do szkoły,Zagrożenia dla pieszych i uczestników ruchu
Zawracanie w miejscu niedozwolonym np w tunelu,Zachowania uczestników ruchu (kierowcy i piesi)
Przepełnione pojemniki na odzież używaną,Zaśmiecanie i nielegalne wysypiska
Obecność pasożytów w piaskownicy na placu zabaw,Zagrożenia biologiczne
Samochód uderzył w budynek mieszkalny,Wypadki drogowe
Problem z mrówkami w budynku wielorodzinnym,Pozostałe (inne)
Zastawianie przejazdu tramwajowego przez zaparkowany samochód,Zachowania uczestników ruchu (kierowcy i piesi)
Nieutylizowane padłe zwierzęta gospodarskie,Zagrożenia biologiczne
Uciążliwy hałas spowodowany pracami budowlanymi w nocy,Pozostałe (inne)
Otwarty właz do piwnicy na środku chodnika,Niebezpieczne sytuacje
Samochód wpadł w poślizg i zablokował dwa pasy ruchu,Wypadki drogowe
Nagły pomór ryb w jeziorze z nieznanych przyczyn,Zagrożenia biologiczne
Stłuczka z udziałem pojazdu nauki jazdy,Wypadki drogowe
Piesi muszą przechodzić przez parking aby dojść do sklepu,Zagrożenia dla pieszych i uczestników ruchu
Niestabilny mur oporowy grożący zawaleniem,Niebezpieczne sytuacje
Wycięcie dziury w siatce ogrodzeniowej,Wandalizm
Niedziałające ogrzewanie w okresie zimowym,Pozostałe (inne)
Zniszczona nawierzchnia z żywicy na placu zabaw,Infrastruktura drogowa i chodniki
Brak ławek na długim odcinku trasy spacerowej,Infrastruktura drogowa i chodniki
Uderzenie w barierki energochłonne na autostradzie,Wypadki drogowe
Duże gniazdo szerszeni na poddaszu budynku mieszkalnego,Zagrożenia biologiczne
Odpady z produkcji rolnej (np. folia) pozostawione na polu,Zaśmiecanie i nielegalne wysypiska
Zgłoszenie dotyczące osoby bezdomnej potrzebującej pomocy,Pozostałe (inne)
Ulatniający się gaz z nieszczelnej butli turystycznej na kempingu,Niebezpieczne sytuacje
Podejrzenie skażenia wody pitnej w studni,Zagrożenia biologiczne
Wózek dziecięcy pozostawiony na środku chodnika,Zagrożenia dla pieszych i uczestników ruchu
Zablokowane wyjście ewakuacyjne w budynku publicznym,Niebezpieczne sytuacje
Gniazdo os w skrzynce na listy,Zagrożenia biologiczne
Pieluchy jednorazowe wyrzucone w lesie,Zaśmiecanie i nielegalne wysypiska
Wylewanie nieczystości płynnych na pole,Zaśmiecanie i nielegalne wysypiska
Przebieganie przez ulicę tuż przed maską autobusu,Zachowania uczestników ruchu (kierowcy i piesi)
Brak barierki zabezpieczającej przy stromym chodniku,Infrastruktura drogowa i chodniki
Kierowca nie używa kierunkowskazów przy zmianie pasa,Zachowania uczestników ruchu (kierowcy i piesi)
Potrzeba zorganizowania deratyzacji w piwnicach,Pozostałe (inne)
Kwitnienie sinic w jeziorze i zakaz kąpieli,Zagrożenia biologiczne
Stłuczka parkingowa a sprawca uciekł z miejsca zdarzenia,Wypadki drogowe
Gałęzie drzewa zasłaniają sygnalizację świetlną na skrzyżowaniu,Zagrożenia dla pieszych i uczestników ruchu
Eksplozja opony w samochodzie jadącym z dużą prędkością,Niebezpieczne sytuacje
"Ignorowanie znaku ""zakaz wjazdu""",Zachowania uczestników ruchu (kierowcy i piesi)
Jazda bez włączonych świateł mijania w dzień,Zachowania uczestników ruchu (kierowcy i piesi)
Zepsuta winda dla niepełnosprawnych na dworcu,Pozostałe (inne)
Pęknięta szyba w drzwiach wejściowych do wieżowca,Niebezpieczne sytuacje
Wyrzucanie resztek jedzenia przez okno,Zaśmiecanie i nielegalne wysypiska
Wjeżdżanie na skrzyżowanie bez możliwości jego opuszczenia,Zachowania uczestników ruchu (kierowcy i piesi)
Wyrzucanie elektrośmieci do kontenerów na odpady zmieszane,Zaśmiecanie i nielegalne wysypiska
Niewystarczająca liczba miejsc do siedzenia na przystankach,Infrastruktura drogowa i chodniki
Zniszczona tablica informacyjna z mapą miasta na dworcu,Wandalizm
Dziecko na rowerze wyjeżdżające z bramy bez rozglądania się,Zagrożenia dla pieszych i uczestników ruchu
Zniszczenie systemu monitoringu miejskiego,Wandalizm
Zaśmiecone i zaniedbane tereny kolejowe,Zaśmiecanie i nielegalne wysypiska
Plaga mrówek faraona w budynku,Zagrożenia biologiczne
Kierowca wyrzuca śmieci przez okno samochodu,Zachowania uczestników ruchu (kierowcy i piesi)
Prośba o zainstalowanie kamery monitoringu w niebezpiecznym miejscu,Pozostałe (inne)
Agresywny bezpański pies biegający po osiedlu Kurdwanów,Niebezpieczne sytuacje
Pieszy z słuchawkami na uszach wchodzi na jezdnię bez rozglądania się,Zachowania uczestników ruchu (kierowcy i piesi)
Iskrząca skrzynka elektryczna na ścianie budynku,Niebezpieczne sytuacje
Prośba o regularne sprzątanie klatki schodowej,Pozostałe (inne)
Zderzenie z powodu nieprawidłowego wyprzedzania,Wypadki drogowe
Kradzież wody z publicznego ujęcia,Wandalizm
Kurier na skuterze jeżdżący po chodniku z dużą prędkością,Zagrożenia dla pieszych i uczestników ruchu
Prośba o instalację dodatkowych koszy na śmieci,Pozostałe (inne)
Uszkodzony sprzęt na siłowni plenerowej grożący kontuzją,Niebezpieczne sytuacje
Nowe malunki sprayem na pomniku Adama Mickiewicza,Wandalizm
Blokowanie skrzyżowania poprzez wjazd bez możliwości zjazdu,Zachowania uczestników ruchu (kierowcy i piesi)
Kierowca nie zachowuje odstępu na drodze ekspresowej,Zachowania uczestników ruchu (kierowcy i piesi)
Odpady z warsztatu samochodowego w lesie,Zaśmiecanie i nielegalne wysypiska
Wysypywanie zawartości koszy samochodowych na postojach,Zaśmiecanie i nielegalne wysypiska
Porzucone odchody zwierzęce w piaskownicy,Zagrożenia biologiczne
Niezabezpieczony ładunek na dachu samochodu,Zagrożenia dla pieszych i uczestników ruchu
Uciążliwe szczekanie psa sąsiadów przez wiele godzin,Pozostałe (inne)
Samochód uderzył w latarnię na ulicy Opolskiej,Wypadki drogowe
Wybite szyby na przystanku autobusowym,Wandalizm
Popękane lustro drogowe ustawione na skrzyżowaniu,Infrastruktura drogowa i chodniki
Nierówności na przejeździe kolejowym,Infrastruktura drogowa i chodniki
Ktoś wygiął znak drogowy zakaz wjazdu,Wandalizm
Niedziałające oświetlenie awaryjne w przejściu podziemnym,Niebezpieczne sytuacje
Nierówna nawierzchnia drogi po pracach wodociągowych,Infrastruktura drogowa i chodniki
Zanieczyszczenie rzeki ściekami przemysłowymi,Zagrożenia biologiczne
Rozlana nieznana substancja chemiczna o drażniącym zapachu,Zagrożenia biologiczne
Wniosek o dodatkowe kursy autobusu w godzinach szczytu,Pozostałe (inne)
Prośba o organizację dnia sprzątania dzielnicy,Pozostałe (inne)
Prośba o ustawienie progu zwalniającego na naszej ulicy ze względu na dzieci,Pozostałe (inne)
Wypadek śmiertelny z udziałem motocyklisty,Wypadki drogowe
Nieprawidłowe przewożenie dziecka w samochodzie bez fotelika,Zachowania uczestników ruchu (kierowcy i piesi)
Rozsypany biały proszek nieznanego pochodzenia na przystanku,Zagrożenia biologiczne
Samochód który stoczył się ze wzniesienia i uderzył w inny pojazd,Wypadki drogowe
Zatarte linie wyznaczające pasy ruchu na rondzie,Zagrożenia dla pieszych i uczestników ruchu
Grupa osób spożywająca alkohol na placu zabaw i zaczepiająca rodziców z dziećmi,Niebezpieczne sytuacje
Zniszczenie elewacji przez odbijanie piłki,Wandalizm
Nieczytelne tablice z nazwami ulic,Infrastruktura drogowa i chodniki
Regularne przejeżdżanie na czerwonym świetle na skrzyżowaniu,Zachowania uczestników ruchu (kierowcy i piesi)
Źle wyprofilowany zakręt gdzie samochody często wpadają w poślizg,Infrastruktura drogowa i chodniki
Brak wody w kranach na całym osiedlu bez wcześniejszej informacji,Pozostałe (inne)
Spalanie śmieci w piecu domowym powoduje czarny dym i smród,Zaśmiecanie i nielegalne wysypiska
Wyprzedzanie na podwójnej ciągłej linii,Zachowania uczestników ruchu (kierowcy i piesi)
Wyłamane drzwi do publicznej toalety,Wandalizm
Nieszczelna instalacja gazowa w budynku wielorodzinnym,Niebezpieczne sytuacje
Zagrzybione ściany w mieszkaniu komunalnym,Zagrożenia biologiczne
Pozostawianie psich odchodów na chodnikach i trawnikach,Zaśmiecanie i nielegalne wysypiska
Nielegalne składowisko odpadów chemicznych,Zaśmiecanie i nielegalne wysypiska
Osuwający się nasyp ziemny przy drodze grozi zawaleniem,Infrastruktura drogowa i chodniki
Zarośnięte krzakami znaki drogowe są zupełnie niewidoczne,Zagrożenia dla pieszych i uczestników ruchu
Wystające korzenie drzew niszczące chodnik,Infrastruktura drogowa i chodniki
Wystające kable po usuniętym słupie oświetleniowym,Infrastruktura drogowa i chodniki
Skażenie bakteriologiczne wody w fontannie miejskiej,Zagrożenia biologiczne
Samochód dostawczy który zgubił ładunek na drodze,Wypadki drogowe
Bardzo śliska nawierzchnia ścieżki rowerowej z kostki po deszczu,Zagrożenia dla pieszych i uczestników ruchu
Zarośnięta i niewidoczna ścieżka rowerowa,Infrastruktura drogowa i chodniki
Wchodzenie na jezdnię zza stojącego pojazdu,Zachowania uczestników ruchu (kierowcy i piesi)
Przechodzenie przez tory kolejowe w niedozwolonym miejscu,Niebezpieczne sytuacje
Brak zasięgu telefonii komórkowej w ważnym punkcie,Pozostałe (inne)
Parkowanie w bramie blokując wyjazd mieszkańcom,Zachowania uczestników ruchu (kierowcy i piesi)
Trwale uszkodzona pętla indukcyjna przed sygnalizacją świetlną,Infrastruktura drogowa i chodniki
Brak wydzielonego pasa dla rowerów na ruchliwej ulicy,Zagrożenia dla pieszych i uczestników ruchu
Duże ilości ptasich odchodów na przystanku jako zagrożenie epidemiologiczne,Zagrożenia biologiczne
Niezabezpieczone pojemniki z odpadami medycznymi przy przychodni,Zagrożenia biologiczne
Martwa sarna leżąca na poboczu drogi od kilku dni,Zagrożenia biologiczne
Zdewastowane nagrobki na cmentarzu,Wandalizm
Powtarzające się niszczenie lustra drogowego na skrzyżowaniu,Wandalizm
Niedziałająca sygnalizacja na przejeździe kolejowym,Zagrożenia dla pieszych i uczestników ruchu
Wyrzucanie zużytych baterii do odpadów zmieszanych,Zaśmiecanie i nielegalne wysypiska
Niesygnalizowanie zamiaru zmiany pasa ruchu,Zachowania uczestników ruchu (kierowcy i piesi)
Samochód ciężarowy nie zmieścił się pod wiaduktem,Wypadki drogowe
Otwarta skrzynka transformatorowa z widocznymi przewodami,Niebezpieczne sytuacje
Wyciek gazu z nieszczelnej instalacji na zewnątrz budynku,Niebezpieczne sytuacje
Nieaktualny rozkład jazdy na przystanku autobusowym,Pozostałe (inne)
Niedziałający przycisk dla pieszych na światłach,Infrastruktura drogowa i chodniki
Pozostawione zużyte maseczki i rękawiczki na ulicach,Zaśmiecanie i nielegalne wysypiska
Zderzenie pojazdu z maszyną rolniczą,Wypadki drogowe
Prośba o wybudowanie nowego placu zabaw,Pozostałe (inne)
Ktoś zostawił podejrzaną walizkę na przystanku,Niebezpieczne sytuacje
Nagromadzenie gnijących odpadów organicznych,Zagrożenia biologiczne
Kierowca jeździ po ścieżce rowerowej jako skrótem,Zachowania uczestników ruchu (kierowcy i piesi)
Zostawianie zużytych maseczek i rękawiczek na ulicy,Zaśmiecanie i nielegalne wysypiska
Brak chodnika przy nowo otwartym dyskoncie,Zagrożenia dla pieszych i uczestników ruchu
Wybite lustro drogowe na niebezpiecznym skrzyżowaniu,Wandalizm
Zniszczone oznakowanie poziome ścieżki rowerowej,Infrastruktura drogowa i chodniki
Kierowca regularnie korzysta z telefonu podczas jazdy,Zachowania uczestników ruchu (kierowcy i piesi)
Nagromadzenie butelek po alkoholu w altanie parkowej,Zaśmiecanie i nielegalne wysypiska
Hałaśliwe prace remontowe prowadzone w niedzielę,Pozostałe (inne)
Niesprzątnięte psie odchody na całym chodniku wzdłuż ulicy,Zaśmiecanie i nielegalne wysypiska
Znalezienie martwego nietoperza w mieszkaniu,Zagrożenia biologiczne
Dziury i wyrwy w asfalcie na parkingu,Infrastruktura drogowa i chodniki
Zniszczone schody prowadzące do parku,Infrastruktura drogowa i chodniki
Porzucone wraki samochodów na osiedlowym parkingu,Zaśmiecanie i nielegalne wysypiska
Wyrzucanie mebli na tereny zielone,Zaśmiecanie i nielegalne wysypiska
Wypadek spowodowany przez dzikie zwierzę na drodze,Wypadki drogowe
Najechanie na tył pojazdu który gwałtownie hamował,Wypadki drogowe
Uszkodzona tablica ogłoszeń na osiedlu,Pozostałe (inne)
Głęboki wykop budowlany bez odpowiedniego ogrodzenia,Niebezpieczne sytuacje
Rozkładające się resztki jedzenia w opuszczonym lokalu,Zagrożenia biologiczne
Samochód wypadł z drogi na ostrym zakręcie,Wypadki drogowe
Przechodzenie przez jezdnię na czerwonym świetle,Zachowania uczestników ruchu (kierowcy i piesi)
